snapshot_date,tag,published_at,asset,download_count,size
2026-04-15,"v0.8.11","2026-04-13T22:06:17Z","Kirodex_0.8.11_x64_en-US.msi.sig",1,420
2026-04-15,"v0.8.11","2026-04-13T22:06:17Z","Kirodex_0.8.11_x64_en-US.msi.zip",1,4456602
2026-04-15,"v0.8.11","2026-04-13T22:06:17Z","Kirodex_0.8.11_x64_en-US.msi.zip.sig",1,424
2026-04-15,"v0.8.11","2026-04-13T22:06:17Z","Kirodex_aarch64.app.tar.gz",1,4089410
2026-04-15,"v0.8.11","2026-04-13T22:06:17Z","Kirodex_aarch64.app.tar.gz.sig",1,404
2026-04-15,"v0.8.11","2026-04-13T22:06:17Z","latest.json",21,6125
2026-04-15,"v0.8.10","2026-04-13T06:37:46Z","Kirodex-0.8.10-1.x86_64.rpm",1,4737332
2026-04-15,"v0.8.10","2026-04-13T06:37:46Z","Kirodex-0.8.10-1.x86_64.rpm.sig",1,416
2026-04-15,"v0.8.10","2026-04-13T06:37:46Z","Kirodex_0.8.10_aarch64.dmg",9,3981333
2026-04-15,"v0.8.10","2026-04-13T06:37:46Z","Kirodex_0.8.10_amd64.AppImage",1,84163064
2026-04-15,"v0.8.10","2026-04-13T06:37:46Z","Kirodex_0.8.10_amd64.AppImage.sig",1,420
2026-04-15,"v0.8.10","2026-04-13T06:37:46Z","Kirodex_0.8.10_amd64.AppImage.tar.gz",1,83483144
2026-04-15,"v0.8.10","2026-04-13T06:37:46Z","Kirodex_0.8.10_amd64.AppImage.tar.gz.sig",1,428
2026-04-15,"v0.8.10","2026-04-13T06:37:46Z","Kirodex_0.8.10_amd64.deb",1,4737398
2026-04-15,"v0.8.10","2026-04-13T06:37:46Z","Kirodex_0.8.10_amd64.deb.sig",1,412
2026-04-15,"v0.8.10","2026-04-13T06:37:46Z","Kirodex_0.8.10_x64-setup.exe",1,3418326
2026-04-15,"v0.8.10","2026-04-13T06:37:46Z","Kirodex_0.8.10_x64-setup.exe.sig",0,420
2026-04-15,"v0.8.10","2026-04-13T06:37:46Z","Kirodex_0.8.10_x64-setup.nsis.zip",1,3418480
2026-04-15,"v0.8.10","2026-04-13T06:37:46Z","Kirodex_0.8.10_x64-setup.nsis.zip.sig",1,424
2026-04-15,"v0.8.10","2026-04-13T06:37:46Z","Kirodex_0.8.10_x64_en-US.msi",1,4456448
2026-04-15,"v0.8.10","2026-04-13T06:37:46Z","Kirodex_0.8.10_x64_en-US.msi.sig",1,420
2026-04-15,"v0.8.10","2026-04-13T06:37:46Z","Kirodex_0.8.10_x64_en-US.msi.zip",0,4456602
2026-04-15,"v0.8.10","2026-04-13T06:37:46Z","Kirodex_0.8.10_x64_en-US.msi.zip.sig",1,424
2026-04-15,"v0.8.10","2026-04-13T06:37:46Z","Kirodex_aarch64.app.tar.gz",1,4088030
2026-04-15,"v0.8.10","2026-04-13T06:37:46Z","Kirodex_aarch64.app.tar.gz.sig",0,404
2026-04-15,"v0.8.10","2026-04-13T06:37:46Z","latest.json",22,5680
2026-04-15,"v0.8.9","2026-04-12T19:52:44Z","Kirodex-0.8.9-1.x86_64.rpm",0,4680140
2026-04-15,"v0.8.9","2026-04-12T19:52:44Z","Kirodex-0.8.9-1.x86_64.rpm.sig",0,416
2026-04-15,"v0.8.9","2026-04-12T19:52:44Z","Kirodex_0.8.9_aarch64.dmg",5,3924533
2026-04-15,"v0.8.9","2026-04-12T19:52:44Z","Kirodex_0.8.9_amd64.AppImage",0,84109816
2026-04-15,"v0.8.9","2026-04-12T19:52:44Z","Kirodex_0.8.9_amd64.AppImage.sig",0,420
2026-04-15,"v0.8.9","2026-04-12T19:52:44Z","Kirodex_0.8.9_amd64.AppImage.tar.gz",0,83431547
2026-04-15,"v0.8.9","2026-04-12T19:52:44Z","Kirodex_0.8.9_amd64.AppImage.tar.gz.sig",0,428
2026-04-15,"v0.8.9","2026-04-12T19:52:44Z","Kirodex_0.8.9_amd64.deb",0,4679342
2026-04-15,"v0.8.9","2026-04-12T19:52:44Z","Kirodex_0.8.9_amd64.deb.sig",0,412
2026-04-15,"v0.8.9","2026-04-12T19:52:44Z","Kirodex_0.8.9_x64-setup.exe",0,3362953
2026-04-15,"v0.8.9","2026-04-12T19:52:44Z","Kirodex_0.8.9_x64-setup.exe.sig",0,416
2026-04-15,"v0.8.9","2026-04-12T19:52:44Z","Kirodex_0.8.9_x64-setup.nsis.zip",0,3363105
2026-04-15,"v0.8.9","2026-04-12T19:52:44Z","Kirodex_0.8.9_x64-setup.nsis.zip.sig",0,424
2026-04-15,"v0.8.9","2026-04-12T19:52:44Z","Kirodex_0.8.9_x64_en-US.msi",0,4399104
2026-04-15,"v0.8.9","2026-04-12T19:52:44Z","Kirodex_0.8.9_x64_en-US.msi.sig",0,416
2026-04-15,"v0.8.9","2026-04-12T19:52:44Z","Kirodex_0.8.9_x64_en-US.msi.zip",0,4399256
2026-04-15,"v0.8.9","2026-04-12T19:52:44Z","Kirodex_0.8.9_x64_en-US.msi.zip.sig",0,424
2026-04-15,"v0.8.9","2026-04-12T19:52:44Z","Kirodex_aarch64.app.tar.gz",0,4030381
2026-04-15,"v0.8.9","2026-04-12T19:52:44Z","Kirodex_aarch64.app.tar.gz.sig",0,404
2026-04-15,"v0.8.9","2026-04-12T19:52:44Z","latest.json",14,5655
2026-04-15,"v0.8.8","2026-04-11T20:48:00Z","Kirodex-0.8.8-1.x86_64.rpm",1,4669520
2026-04-15,"v0.8.8","2026-04-11T20:48:00Z","Kirodex-0.8.8-1.x86_64.rpm.sig",1,416
2026-04-15,"v0.8.8","2026-04-11T20:48:00Z","Kirodex_0.8.8_aarch64.dmg",2,3915544
2026-04-15,"v0.8.8","2026-04-11T20:48:00Z","Kirodex_0.8.8_amd64.AppImage",1,84105720
